,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,When disclosing it I would think it would provide a minor benefit to put alert symbols like a siren over the title or first line of each message just to be thoroughly clear what it is.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In order to provide you with the services of our platform, and/or in connection with your use of features on the Voice platform, we share your personal data with our third-party suppliers, subcontractors, and other service providers, and with other third parties solely for purposes of legal and regulatory compliance",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe include an option where the user can ask for more info to provided after the initial interaction,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I dont have any recommendations,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I think keeping it simple and understandable is the best option.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thanks,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I definitely think you should lead with it, doing anything before getting consent just makes no sense.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I like the information being presented at the start of the texts, I think that makes it easier to deal with and not have to sit and listen to so much talking about it.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i think it works well,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Just keep the information clear of legal terms,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No as I think that as long as it is simple and concise then it is fine. Not to long an drawn out.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I like to get it at the beginning of the conversation.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First privacy notice over voice asking permission,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I think it is solid but would suggest that simplification be made since there is a vast amount of information provided.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"yeah it is also great. privacy notice over voice looks more mature then what i select sonic waves. It really suites and people will appriciate it,",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I think that you've done a great job. There's nothing I can think of that could make your Privacy Notice Over Voice better.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I would suggest prompting the user if they would like further details on the information collected to have full details given to them over the Privacy Notice Over Voice feature.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I think that providing it in the beginning is a good idea because it allows the user to instanty know what will be collected before they start the process. In addition, I feel it wuld be a great opportunity to ask questions and gain clarification on aspects of the privacy notice. I feel that having the ability to ask for a more in depth explination if desired along with examples of how it would work in practice would be extreamly useful in helping to better understand it.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Over"" voice sounds a bit odd to me, it seems like ""by voice"" or ""through voice communication"" or something sounds more natural.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bullet points to highlight personal information being collected could aid in recall.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Make it accessible and easy for everyone to understand,
